"","Grouping","DGKE","MGAT3-AS1","NPPA","B2M","MB","ALB","LCN2","PIK3C2A","CST3","SLC22A12","REN","GPT","ADAMTS13","CFH","HGF","SLK","IL18","HP","CPT2","AMBP","SLC22A6","UMOD","HAVCR1","MAP4K2","PRTN3","F2","KNG1","MIR21","RBP4","BMAL2","SLC9A3","HMGCR","CBS","FABP1","XDH","IL6","HPRT1"
"Kidney_U1123R_pre",1,13.2147660577755,0,0.410744951567484,8965.93529610021,0.0168354234702876,0.118844985986531,21.2658597168121,14.1973876479653,96.3466283114924,0,0,0.250572455360734,0.469755634162304,6.71974998213592,1.3303447432882,11.6995008219809,8.2329537544955,3.33101035445723,1.85417332480931,0.0556556154659586,0,0,0.0874355864102031,9.08801222436088,0.142324998415481,0.172714885372229,0,0,0,0.28239459307818,0.044253979030268,13.3388969326822,0.733843178247591,0,0,3.48427114858645,11.3411981062641
"Kidney_U1124R_pre",1,7.26621985365101,0,0.0673183692267572,10672.6407935362,0,0,14.2988026711362,8.76786895616295,62.6368130077375,0,0,0.126360495475033,0.201407989203657,3.44163245861738,0.572217677400564,10.5696806324449,6.11413540284778,5.64065618550276,2.12542972717974,0,0,0,0.0913804232629936,8.29493799629827,0,0,0.0551710574539922,0,0.0292020323129769,0.0972907466005365,0.0967057761349275,13.7832130265265,0.361177244533618,0,0,0.13820765391348,8.9533431071587
"Kidney_U1132R_pre",1,7.40325637689112,0.0543072249458103,0.110710518222862,5339.76440966379,0,0,29.5485739013232,12.3001262195062,115.221074200602,0,0.055495891976088,0.259762604502051,0.288492190221783,0.693066578038502,1.04072712652838,8.39994764200152,6.58788413381099,4.06380185417511,0.816660740598594,0,0.00760545501209605,0,0.193220379900292,5.61750378692649,3.28814565629344,0.0886721246656182,0,0,0.030873285414399,0.530947150408336,0.0657259177877017,11.4114756017576,0.18837818653078,0,0,0.752725878178177,9.2670315806455
"Kidney_U1136R_pre",1,2.74589563345231,0,0.0815779100903136,2234.5186147125,0,0.0262264008750585,95.1007954929024,2.88492879154916,17.8110942833824,0,0,0.0212675671201421,0.0472394941599852,0.842956252043701,0.219186448519997,2.37140845704594,2.42716694032444,9.32110051569733,0.631707417890905,0,0,0,0.0704689026326805,2.85294399573575,1.03646098534198,0.0254095129789501,0,0,0,0.0729851629683695,0.0153463395219402,2.62971619448716,0.105043845071112,0,0.00542425298938218,0.152257396042825,2.39441399903074
"Kidney_U1143R_pre",1,9.20174232268853,0,0.0247935834805774,10631.9828599088,0,0,11.3492043628016,10.3397647718578,50.0352019541788,0.00815641164905491,0,0.0465389986298435,0.172287278368252,1.35206922215267,0.861166916110183,11.7543822947973,5.80435498982804,14.0402151876845,1.86930207575498,0,0,0,0.0871989096432086,8.81813092948538,0.0429554485833713,0.0695033241832581,0.0609590621880481,0,0,0.10442617672854,0.0572417116360766,12.1321686188105,3.95077724720158,0,0.0111278288062434,0.166589500007023,10.9107763174851
"Kidney_U1146R_pre",1,11.2701658237806,0,0.229183665598893,10345.0387275827,0,0.066312025071761,20.981656480076,13.186477121238,102.317255047647,0.00753951650969811,0,0.129057322121001,0.232249278464168,4.09535287642077,1.5719155288437,9.46337918549973,12.4174732223664,5.67162341164615,3.09283314268562,0.0310542050851115,0,0,0.216357517610733,10.618752315925,0.357359332681557,0.128493137106265,0,0,0,0.227124930845614,0.119934638325109,8.98089440469678,0.634483242902358,0,0,1.60406052789009,13.1056091615212
"Kidney_U1148R_pre",1,6.25751861834141,0,0.0997500913687949,5732.49109137084,0,0.0320685572928444,78.7378757777479,10.3388183213445,30.5599249033282,0,0,0.0832163221078859,0.144406244700846,1.30595364497073,0.617240023725316,7.91080544465977,3.49719070334644,8.60523359927605,1.18321570032307,0.0075089212995527,0,0,0.0594958869281294,6.38822083677223,1.59377805560881,0,0,0,0,0.0919891816230628,0.081883063301837,10.7155690935659,0.759955986011884,0.0378293759682056,0,0.769519368909236,5.82840856449496
"sample_230",0,41.7174699768523,0,0,6659.85746497777,0,0.598131335296411,0.416858041462475,110.619941086848,60.5654393144189,0,0.120894534596504,0.0970075793524091,1.01751194136861,4.02614600410226,1.81776972485522,27.1884965803536,6.95984964463722,3.57182666035383,6.67961340391594,0,0,0,0.68877691544525,20.3283474849354,0,0,0,0,0,0.845070663016944,0.0954533625094992,18.9502806147725,0,0,0,0.810238812744352,12.2899910604076
"sample_231",0,34.392135770566,0,0.482434876318858,4491.8155300883,1.05460356472387,0.232646260153764,2.26994711852859,90.6268906079211,144.146872319465,0.529026316856001,0.0940451024287788,0.30185277662102,1.0243368352588,7.67335199065246,2.23893114095528,24.1716700009203,8.68780388535746,3.67487061915636,7.79420999699289,0.108949239105289,0.30932269910208,0.118785261123866,0.714408866425848,18.9878996130003,0.417914710488981,0.901599604923768,0.395381566501437,0,0,0.617547396736759,0.198011074348694,28.4302638306669,0.1035345931859,0.823317004496255,0.288701185828608,1.89087932859749,14.6857326328891
"sample_232",0,32.2940195012993,0,0,6002.86381959713,0,0,1.13508641752711,116.215368016393,122.931079541215,0,0.10973019631361,0.0880491476457177,0.760568119927859,8.31362458881281,3.7672780151591,35.7047787009438,11.458967643607,4.70609492534055,8.44032148035964,0,0,0,0.382048282553686,12.6374119164559,0,0,0,0,0,0.48811018360192,0.0866384592315919,43.992985056487,0,0,0.028070961856605,1.78600805447181,16.5600564655998
